"WHNR";"WHNAME";"PERSONNR";"NAME";"VORNAME";"VONUMMER";"MIETBEGINN";"MIETENDE";"AUSZUG";"TELEFONMOBIL";"EMAIL";"VERFUEGBARAB";"ZIMMERNR";"GEBURTSDATUM";"BANKVERBINDUNG";"Land Heimat";"Plz Heimat";"Ort Heimat";"Straße Heimat";"Land neue Anschrift";"Plz Neue Anschrift";"Ort neue Anschrift";"Straße neue Anschrift"
"370";"Bischofsholer Damm";194866;"Curie";"Marie";"370-01-01-32-4";01.03.2024;30.04.2025;15.02.2025;"0123456123";"m.curie@hotmail.com";30.04.2025;"40-1";"01.07.1987";"DE123456789";"Deutschland";"30159";"Hannover";"Bischofsholer Damm 1";"Deutschland";"30159";"Hannover";"Bischofsholer Damm 1"
"370";"Bischofsholer Damm";181301;"Einstein";"Albert";"370-01-02-33-2";01.03.2024;28.02.2025;28.02.2025;"+49123123123";"a.einstein@gmail.com";30.04.2025;"21-0";"01.01.1979";"DE987654321";"Deutschland";"30159";"Hannover";"Bischofsholer Damm 2";"Deutschland";"30159";"Hannover";"Bischofsholer Damm 2"
"380";"Hufelandstraße";198432;"Göllum";"Smergol";"380-01-03-40-6";01.10.2024;28.02.2025;28.02.2025;"+456789123";"gollum@student.euba.sk";30.04.2025;"40-1";"01.01.1980";"SK123456789";"Slowakei";"04001";"Bratislava";"Hufelandstraße 3";"Deutschland";"30159";"Hannover";"Hufelandstraße 3"
"380";"Hufelandstraße";198278;"Wulfrik Brian Dumbledore";"Albus Percival";"380-01-02-22-3";01.10.2024;28.02.2025;31.01.2025;"1236549";"a.dumbledore@hotmail.com";30.04.2025;"40-1";"01.01.1950";"GB123456789";"Vereinigtes Königreich";"SW1A 1AA";"London";"Hufelandstraße 4";"Deutschland";"30159";"Hannover";"Hufelandstraße 4"
"340";"Jägerstraße";196695;"Potter";"Harry";"340-01-01-71-5";01.09.2024;28.02.2025;28.02.2025;"+358 44444444";"h.potter@gmail.com";30.04.2025;"40-1";"01.01.1985";"FI123456789";"Finnland";"00100";"Helsinki";"Jägerstraße 5";"Deutschland";"30159";"Hannover";"Jägerstraße 5"
"340";"Jägerstraße";196686;"Weasley";"Ron";"340-01-01-71-7";01.09.2024;28.02.2025;28.02.2025;"34567890";"ronnald.weasly@example.com";30.04.2025;"40-1";"01.01.1986";"IE123456789";"Irland";"D02";"Dublin";"Jägerstraße 6";"Deutschland";"30159";"Hannover";"Jägerstraße 6"
"340";"Jägerstraße";198125;"Granger";"Hermoine";"340-01-03-73-5";01.10.2024;28.02.2025;28.02.2025;"45698321";"h.granger@gmail.com";30.04.2025;"40-1";"01.01.1988";"US123456789";"Vereinigte Staaten";"10001";"New York";"Jägerstraße 7";"Deutschland";"30159";"Hannover";"Jägerstraße 7"
"330";"Hufelandstraße";198421;"Snape";"Severus";"330-02-01-06-7";01.10.2024;31.12.2024;31.12.2024;"0123456789";"s.snape@gmail.com";30.04.2025;"40-1";"01.01.1965";"DE123456789";"Deutschland";"30159";"Hannover";"Hufelandstraße 8";"Deutschland";"30159";"Hannover";"Hufelandstraße 8"
"380";"Hufelandstraße";198430;"Lupin";"Remus";"380-01-01-12-1";01.10.2024;28.02.2025;28.02.2025;"123456789";"r.lupin@gmail.com";30.04.2025;"46-1";"01.01.1970";"DE123456789";"Deutschland";"30159";"Hannover";"Hufelandstraße 9";"Deutschland";"30159";"Hannover";"Hufelandstraße 9"
"380";"Hufelandstraße";194115;"Animal";"Niffler";"380-01-02-31-1";01.10.2023;28.02.2025;28.02.2025;"987654321";"a.niffler@outlook.de";30.04.2025;"45-1";"01.01.1990";"DE123456789";"Deutschland";"30159";"Hannover";"Hufelandstraße 10";"Deutschland";"30159";"Hannover";"Hufelandstraße 10"
"350";"Dorotheenstraße";194982;"Malfoy";"Draco";"350-5B-06-26-7";16.03.2024;30.04.2025;31.01.2025;"1122334455";"d.maylfoy@web.de";30.04.2025;"45-6";"01.01.1995";"DE123456789";"Deutschland";"30159";"Hannover";"Dorotheenstraße 11";"Deutschland";"30159";"Hannover";"Dorotheenstraße 11"
